ID,Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,MonthlyIncome,Attrition
S1,28,Travel_Rarely,Research & Development,4,,Other,Very High,Male,High,1,Research Scientist,Low,Single,4,No,11.0,Excellent,Medium,80,0,,4,Good,4.0,1,0.0,,14115.06,No
S2,25,Travel_Frequently,Sales,14,Below College,Marketing,High,Male,High,2,Sales Executive,High,Married,0,No,18.0,Excellent,Medium,80,0,6.0,2,Good,,4,1.0,4.0,16661.93,Yes
S3,36,Travel_Rarely,Research & Development,3,Below College,Marketing,Medium,Male,Medium,2,Research Scientist,Medium,Married,0,Yes,13.0,Excellent,,80,1,10.0,3,Bad,9.0,4,1.0,4.0,13178.42,No
S4,36,Travel_Frequently,Research & Development,4,,Life Sciences,Very High,Male,High,2,Manufacturing Director,Medium,Divorced,7,No,13.0,Excellent,Medium,80,3,18.0,3,Better,4.0,2,0.0,2.0,13601.03,No
S5,38,Travel_Frequently,Research & Development,12,Bachelor,Life Sciences,Very High,Male,Medium,2,Research Director,High,Married,4,No,18.0,Excellent,Medium,80,0,,4,Good,,3,1.0,3.0,15419.15,No
S6,50,Travel_Frequently,Research & Development,1,Bachelor,Marketing,,Male,High,4,Manager,Low,Married,2,No,21.0,Excellent,Medium,80,0,31.0,2,Good,2.0,2,1.0,2.0,16593.52,No
S7,53,Travel_Rarely,Research & Development,2,,Medical,High,Male,High,5,Manager,Low,Married,4,No,12.0,Excellent,Very High,80,0,23.0,1,Better,6.0,3,2.0,4.0,17309.37,No
S8,38,Travel_Frequently,,10,Master,Human Resources,High,Female,High,2,Human Resources,High,Married,3,No,11.0,Excellent,High,80,0,10.0,2,Better,6.0,3,1.0,2.0,14998.98,No
S9,28,Travel_Frequently,Research & Development,15,Bachelor,Medical,Medium,,Medium,1,Laboratory Technician,Medium,Divorced,1,No,16.0,Excellent,Medium,80,2,1.0,2,Better,1.0,0,0.0,0.0,12174.85,No
S10,37,Travel_Frequently,Research & Development,8,Bachelor,,Medium,Male,High,2,Laboratory Technician,Low,Divorced,4,No,13.0,Excellent,Medium,80,0,,2,Good,8.0,5,4.0,7.0,15268.58,No
S11,27,Travel_Frequently,Research & Development,2,Bachelor,,Very High,Female,High,1,Research Scientist,Very High,Single,2,No,13.0,Excellent,High,80,0,6.0,0,Good,4.0,2,1.0,2.0,15348.57,No
S12,34,Travel_Frequently,Research & Development,2,,Life Sciences,Very High,,High,2,Manufacturing Director,High,Single,2,No,11.0,Excellent,Very High,80,0,5.0,3,Good,3.0,2,0.0,2.0,14814.58,Yes
S13,41,Travel_Rarely,,11,Bachelor,Life Sciences,Medium,Female,Medium,1,Research Director,High,Single,1,No,11.0,Excellent,High,80,0,,3,Good,5.0,3,0.0,1.0,14351.79,No
S14,30,Travel_Frequently,Research & Development,4,Bachelor,Life Sciences,Medium,Male,High,1,Manager,Medium,Divorced,0,No,14.0,Excellent,Very High,80,1,6.0,2,Better,,2,0.0,2.0,14829.45,Yes
