ID,MonthlyIncome
S10364,16455.152
S10365,14984.61
S10366,17479.855
S10367,14271.505
S10368,13735.463
S10369,14050.877
S10370,14585.128
S10371,6963.013
S10372,13654.254
S10373,15398.4
S10374,12755.382
S10375,14103.487
S10376,16628.223
S10377,15364.263
S10378,13048.736
S10379,15442.832
S10380,15287.629
S10381,16967.57
S10382,14125.242
S10383,15127.348
S10384,12127.699
S10385,14893.509
S10386,11383.437
S10387,13648.77
S10388,17331.04
S10389,12601.76
S10390,14316.313
S10391,14705.548
S10392,15418.555
S10393,17089.225
S10394,16270.726
S10395,12916.613
S10396,13346.337
S10397,9833.355
S10398,14520.13
S10399,15614.649
S10400,14200.058
S10401,12614.286
S10402,11679.906
S10403,14106.447
S10404,12675.006
S10405,13099.628
S10406,14904.568
S10407,13687.28
S10408,13584.856
S10409,14344.319
S10410,14685.23
S10411,15516.123
S10412,11076.854
S10413,20188.652
S10414,16104.126
S10415,14683.275
S10416,15070.85
S10417,15227.208
S10418,13986.818
S10419,16887.75
S10420,14599.462
S10421,16467.727
S10422,3740.0903
S10423,14056.852
S10424,15464.745
S10425,13991.327
S10426,15082.433
S10427,13984.519
S10428,13836.797
S10429,10818.3125
S10430,13361.557
S10431,15978.421
S10432,15721.676
S10433,13012.959
S10434,16946.453
S10435,9756.102
S10436,13848.779
S10437,10093.991
S10438,12076.448
S10439,13967.592
S10440,14170.436
S10441,14234.33
S10442,13690.029
S10443,17017.494
S10444,15274.732
S10445,15250.258
S10446,16840.506
S10447,15006.839
S10448,13227.679
S10449,11906.571
S10450,12846.756
S10451,16131.245
S10452,16416.543
S10453,12058.648
S10454,14206.356
S10455,13531.846
S10456,12898.053
S10457,12526.581
S10458,12865.045
S10459,12384.154
S10460,13714.71
S10461,15901.643
S10462,15934.909
S10463,15926.703
S10464,13279.279
S10465,13978.1
S10466,12016.783
S10467,18283.607
S10468,16138.3125
S10469,17147.016
S10470,15300.755
S10471,11612.719
S10472,13509.5625
S10473,14553.486
S10474,15282.329
S10475,15798.096
S10476,15834.93
S10477,13245.131
S10478,13605.308
S10479,14514.138
S10480,14467.714
S10481,21364.848
S10482,15547.228
S10483,11437.803
S10484,18211.566
S10485,12564.204
S10486,15305.4375
S10487,14140.549
S10488,14793.703
S10489,16190.373
S10490,16183.704
S10491,11798.522
S10492,14481.947
S10493,15029.455
S10494,13016.568
S10495,15773.822
S10496,13013.475
S10497,11601.984
S10498,15101.409
S10499,16128.561
S10500,15029.446
S10501,12460.045
S10502,14187.999
S10503,13526.389
S10504,12754.893
S10505,13674.114
S10506,16336.433
S10507,15494.986
S10508,16055.857
S10509,14865.859
S10510,15054.243
S10511,18918.57
S10512,13111.58
S10513,15114.102
S10514,11993.659
S10515,12559.181
S10516,14864.374
S10517,16584.68
S10518,14331.386
S10519,14226.756
S10520,14019.23
S10521,15548.055
S10522,8578.731
S10523,18186.521
S10524,12305.852
S10525,4828.768
S10526,12654.721
S10527,15394.486
S10528,9586.644
S10529,15630.897
S10530,14363.98
S10531,13147.5205
S10532,3317.6829
S10533,12674.321
S10534,16123.909
S10535,14180.865
S10536,12145.296
S10537,15087.341
S10538,14810.498
S10539,14174.607
S10540,14269.005
S10541,16808.53
S10542,15606.206
S10543,17433.137
S10544,13619.69
S10545,12473.532
S10546,16773.908
S10547,16121.004
S10548,13964.083
S10549,11538.16
S10550,13104.568
S10551,13598.16
S10552,14618.535
S10553,14161.25
S10554,16909.791
S10555,16946.734
S10556,14366.682
S10557,14947.255
S10558,16474.508
S10559,19301.932
S10560,13291.183
S10561,17339.256
S10562,12295.405
S10563,13430.96
S10564,14693.071
S10565,12080.096
S10566,16211.604
S10567,14134.8
S10568,13827.56
S10569,15539.954
S10570,15992.767
S10571,13898.063
S10572,19039.617
S10573,11743.283
S10574,10782.383
S10575,8118.88
S10576,15056.479
S10577,17665.057
S10578,11592.705
S10579,15731.948
S10580,13329.65
S10581,12006.716
S10582,14318.1455
S10583,15988.602
S10584,14710.815
S10585,13752.645
S10586,10500.3545
S10587,13206.848
S10588,15225.218
S10589,16370.339
S10590,14833.338
S10591,17239.664
S10592,14833.577
S10593,14099.881
S10594,16833.387
S10595,3651.1997
S10596,11725.961
S10597,15986.791
S10598,16398.006
S10599,12735.553
S10600,13107.016
S10601,16269.104
S10602,15657.373
S10603,14410.747
S10604,14916.308
S10605,15075.901
S10606,13124.718
S10607,11400.419
S10608,4112.529
S10609,15782.502
S10610,12804.521
S10611,12709.688
S10612,15672.56
S10613,13956.939
S10614,14377.449
S10615,11918.092
S10616,13246.944
S10617,14583.137
S10618,14360.935
S10619,13200.097
S10620,12837.794
S10621,15552.801
S10622,15208.973
S10623,15248.978
S10624,12913.106
S10625,12033.303
S10626,14662.626
S10627,10605.618
S10628,13978.815
S10629,14993.87
S10630,3822.3135
S10631,14112.04
S10632,12666.798
S10633,12721.668
S10634,15112.417
S10635,12106.213
S10636,16562.367
S10637,12615.297
S10638,12540.774
S10639,12068.543
S10640,13291.74
S10641,16491.906
S10642,15596.005
S10643,14336.586
S10644,12937.173
S10645,14519.304
S10646,12056.258
S10647,17427.451
S10648,13023.727
S10649,12473.605
S10650,14232.1455
S10651,12540.102
S10652,13273.571
S10653,13001.23
S10654,16277.96
S10655,17585.627
S10656,14929.836
S10657,10989.01
S10658,14254.057
S10659,12397.829
S10660,14727.631
S10661,16984.604
S10662,14549.94
S10663,4292.4346
S10664,12807.435
S10665,16005.576
S10666,12013.879
S10667,13796.015
S10668,13418.876
S10669,13247.0
S10670,14003.372
S10671,14752.791
S10672,14691.378
S10673,17121.21
S10674,16268.22
